87120,Rick,"Mon Sep 24, 2012 4:53 pm","Tonight, 8pm, might be worth a look...?


RJ"
87131,pigtin,"Mon Sep 24, 2012 8:29 pm","Oh dear! Just switched off... a couple of geezers on an ego trip, couldn't take any more when they picked up the shock absorber in the breakers yard. Would you want to sell a classic at a knockdown price to this guy?"
87133,riley541,"Mon Sep 24, 2012 8:47 pm","What a terrible programme. Why on earth did the production company choose that foul mouthed cockney bodger to front it? I'll watch this one until the bitter end out of curiousity but that's it for me, no more of this rubbish."
87135,47p2,"Mon Sep 24, 2012 9:00 pm","I've recorded it to watch later, I might give it a miss now  "
87136,Rick,"Mon Sep 24, 2012 9:04 pm","Deary me, ""restore"" something and leave that awful glass pop-up sunroof in it, not to mention the junk they bought from the other fella. Good to hear that they repaired a piston, and cleaned out the cylinders though ... 


£30k?


RJ


I'll probably watch the next one though, out of curiosity"
87139,welshrover,"Mon Sep 24, 2012 9:09 pm","what a load of rubbish .arthur daley would have done a better job . poxy modern sunroof ,nice pinky red paint then bangs it into an engine .would you buy a car from these two plonkers . "
87140,welshrover,"Mon Sep 24, 2012 9:10 pm",
87142,swampy,"Mon Sep 24, 2012 10:02 pm","

i wouldn't bother. "
87146,welshrover,"Mon Sep 24, 2012 10:31 pm",One and half days to sort out the 'too much oil in the carb' issue just after he had boasted that he'd been doing this for thirty something years   I can truly say that I was awestruck 
87148,Penman,"Tue Sep 25, 2012 12:34 am",those diagprahms in the carbs looked new too.
87149,victor 101,"Tue Sep 25, 2012 1:34 am","Hi

The e type was the first car designed using a wind tunnel??

I think not, Bristol Cars used Bristol Aeroplane's wind tunnel in the design stages of the 401 introduced in 1948."
87151,peterwpg,"Tue Sep 25, 2012 4:28 am","I turned off before it was half way through, about where he pulled some supposedly E type parts of the back of a pick up truck."
87154,pigtin,"Tue Sep 25, 2012 6:41 am",
87156,riley541,"Tue Sep 25, 2012 7:21 am","


and as far back as 1934 Chrysler used the wind tunnel for their ""Airflow"" series.   


I haven't seen the programme that is the subject of this thread, but poorly researched and gross presentations are quite common this side of the ""pond"""
87157,Rick,"Tue Sep 25, 2012 7:41 am","It was dumbed down to a point where I thought I'd switched on Eastenders by mistake. I believe there are a load of 'Toff' producers with a very strange idea about what many of us 'Plebs' like to watch. Surely they could have asked someone who knew about restorations to look it over.

Having switched off before halfway through I can only assume, from comments on here, the programme didn't redeem itself in the second half..."
87158,pigtin,"Tue Sep 25, 2012 7:45 am",
87162,baconsdozen,"Tue Sep 25, 2012 9:38 am","


The guy had a very fancy magnet, perhaps we should all get one... it's probably what the trade use. "
87164,Rick,"Tue Sep 25, 2012 9:48 am","I switched off part way,it was total twaddle.

I'm not sure I heard it right but I'm sure they said Jaguar invented IRS as drivers were finding it difficult to handle the car as it was so long?.

The restoration was a bodge and looked like it was done in twenty one days.

I agree,it was like an episode of Eastenders,a poor one even by their standards."
87167,MikeEdwards,"Tue Sep 25, 2012 10:24 am","Programmes like this emphasise how important it is to keep a close eye on any restorer entrusted with one's pride-and-joy. I imagine pukka restoration companies cringed when they saw this.


Although the valuation seemed a little optimistic, I'm glad the fella from RM at least pointed out the hideous sunroof, change of colour, and it being auto and LHD as being some of the car's less attractive points.


RJ"
87169,riley541,"Tue Sep 25, 2012 11:23 am","I completely forgot to set the box to record this, but from here and another thread it sounds as if I had a lucky escape."
87170,Rick,"Tue Sep 25, 2012 11:31 am",
87385,Rick,"Mon Oct 01, 2012 5:47 pm",
87392,scott_budds,"Mon Oct 01, 2012 8:14 pm","


Same here, it may be drivel at times, but at least I'm interested in the subject, unlike Corrie and the related frothy dross usually on the box.


R"
87396,pigtin,"Mon Oct 01, 2012 9:11 pm","The amount and content of the posts here are mirrored on the lotus forum I am often found on. 


Two points I would raise.


1, Would anyone now buy any car from that used car dealer?


2, Has anyone been onto a Jag forum to see what they think!!! 


I know its a Porsche next...but Tthere looks to be a Lotus Excel coming from the opening credits.


Trouble is we along with so many other people are all talking about this pile of old....And I dare say having this hot cake on Channel 5's programming is a dream come true for them!


Buddsy"
87401,welshrover,"Mon Oct 01, 2012 10:12 pm","OK I've just watched it. Only got halfway through last weeks, but this time I gritted my teeth and used the mute button liberally when the foul-mouthed cockney porker started shouting. I have now found what a distributor does, and cleaning the carbon off is all you have to do to fully service a Porsche engine.

The commercial breaks were a blessed relief, and at least, now, I can't be accused of criticising something I haven't watched all the way through.


I shall not be watching it again. Er, is the porker related in any way to Greg Wallace?"
87403,D4B,"Mon Oct 01, 2012 10:29 pm","i liked the way he scraped the rotor arm with a something metal .i got my knuckles rapped when i worked in a garage by an old guy for doing the same thing .he said you dont rub anything metal on a rotor arm you use the sidewall of a tyre or something rubber as it takes metal off the rotor arm & alters the air gap in the distributer cap, dont f***in  do it again or youll get another he said,that was twenty odd years ago and i still use the side of a tyre to this day .  "
87409,Rick,"Tue Oct 02, 2012 7:44 am","They couldn't stretch to a NEW cap and rotor?

probably the same reason they didn't change the oil.....


I certainly don't want to win it anyhow  "
87411,riley541,"Tue Oct 02, 2012 7:56 am","I don't understand why they left that cheapo front bumper/spoiler thing on it, when they could have probably bought a proper one from the spares place. The colour was awful (compared to the original).


Too much shouty-shouty for me, why couldn't it have been presented more like Grand Designs, rather than something off a children's channel?


R"
87417,MikeEdwards,"Tue Oct 02, 2012 10:36 am","The previous week's programme was utter rubbish, why watch more of it? I didn't."
87420,ukdave2002,"Tue Oct 02, 2012 11:04 am","Well, I learned a few things. Apparently Scimitars and Land Rovers are rubbish, and Morris Minors are rare. And 1977 911s have an ECU, and as long as there isn't any welding in a specific part of the bodywork (assessed by feel rather than, I don't know, perhaps actually looking at it) it cannot possibly be a cut and shut.


And all through the cut-and-shut section, the ""holier than thou"" attitude about how if it is, we'll have to scrap it straight away, made me laugh. If you had to imagine the kind of people that might sell a cut-and-shut, and the kind of premises they might work from, well, I don't need to spell it out, do I?


I didn't think program was as bad as the first, some of the historic footage was quite good if a little brief and speeded up. Perhaps we should have a whip-round for a new catch for that workshop door that they take it in turns to slam, but doesn't close properly so it doesn't make a bang."
87443,simes205,"Tue Oct 02, 2012 6:32 pm",
